2025-06-21|01:20 PM|Slim Wallet |Amazon|32.96
2021-08-09|05:58 PM|Applesause|Shop Rite|4.26
2025-08-23|06:01 PM|Cleaning Gel for Keyboard |5 Below|3.65
2030-08-25|06:03 PM|Wirless Mouse & Keyboard Combo|Amazon|56.83
2025-05-01|06:09 PM|Bleach|Target|-6.89
2025-06-01|06:10 PM|HD Camera 4k|Amazon|-68.97
2021-08-21|06:11 PM|Red IPhone|T-Mobile|2100.0
2021-08-21|10:31 AM|Nintedno Points|Nintedno|50.0
2025-05-21|12:08 PM|Clock|Amazon|23.25
2021-01-08|12:09 PM|Playstation 4|NewEgg|450.0
2024-12-15|03:45 PM|LED Desk Lamp|IKEA|29.99
2025-03-02|11:00 AM|Notebook Pack|Staples|12.49
2023-11-18|09:17 AM|Noise Cancelling Headphones|Best Buy|129.99
2025-07-04|08:22 PM|Graphic T-Shirt|Hot Topic|-14.99
2022-04-11|01:12 PM|Water Filter|Home Depot|39.95
2025-06-10|07:30 PM|Wireless Charger|Amazon|18.75
2021-10-05|02:19 PM|Lunch|Subway|-7.50
2023-08-30|04:55 PM|USB-C Cable (3-Pack)|Walmart|10.88
2025-05-25|01:44 PM|Travel Backpack|REI|65.00
2024-01-12|06:33 PM|Fitness Tracker Band|Fitbit|99.95
2022-06-22|10:15 AM|Gardening Gloves|Lowe's|5.99
2025-06-20|05:05 PM|Bluetooth Speaker|Target|45.60
2023-03-14|09:03 AM|Monthly Bus Pass|Transit Authority|-30.00
2024-10-28|11:48 AM|Digital Drawing Tablet|B&H Photo|229.99
2025-01-09|03:37 PM|Electric Toothbrush|CVS|59.95
